asleep,awake
2016-07-05T22:05:58.439,2016-07-06T05:55:39.136
2016-07-06T21:47:04.188,2016-07-07T05:52:33.667
2016-07-07T21:51:08.560,2016-07-08T07:01:26.928
2016-07-08T21:24:13.567,2016-07-09T05:59:02.104
2016-07-09T21:57:52.552,2016-07-10T06:22:24.138
2016-07-10T22:04:54.181,2016-07-11T05:57:39.725
2016-07-11T21:39:20.839,2016-07-12T06:08:31.225
2016-07-12T22:14:37.222,2016-07-13T06:47:42.576
2016-07-13T22:08:11.818,2016-07-14T05:00:12.314
2016-07-14T21:23:34.603,2016-07-15T07:06:18.915
2016-07-15T22:03:19.809,2016-07-16T05:58:48.189
2016-07-16T21:43:37.020,2016-07-17T06:37:31.580
2016-07-17T22:22:31.714,2016-07-18T06:33:20.887
2016-07-18T22:00:30.653,2016-07-19T06:13:09.264
2016-07-19T22:20:11.428,2016-07-20T05:14:25.064
2016-07-20T22:12:24.491,2016-07-21T06:48:52.137
2016-07-21T21:38:47.698,2016-07-22T06:48:29.837
2016-07-22T21:18:19.064,2016-07-23T05:48:13.173
2016-07-23T22:05:56.219,2016-07-24T06:05:57.169
2016-07-24T21:01:00.338,2016-07-25T05:39:26.223
2016-07-25T22:04:00.581,2016-07-26T06:42:37.008
2016-07-26T21:37:21.714,2016-07-27T06:25:40.581
2016-07-27T21:46:15.159,2016-07-28T06:20:15.682
2016-07-28T21:46:22.857,2016-07-29T05:31:37.766
2016-07-29T21:05:03.537,2016-07-30T05:58:53.377
2016-07-30T21:46:02.778,2016-07-31T05:20:03.009
2016-07-31T22:07:20.329,2016-08-01T06:20:57.883
2016-08-01T22:20:39.201,2016-08-02T05:29:25.569
2016-08-02T21:49:56.580,2016-08-03T05:28:33.226
2016-08-03T21:57:49.459,2016-08-04T05:46:13.643
2016-08-04T22:08:59.001,2016-08-05T06:25:16.253
2016-08-05T22:54:40.550,2016-08-06T06:45:54.097
2016-08-06T22:14:43.101,2016-08-07T05:23:24.876
2016-08-07T21:15:06.888,2016-08-08T05:17:12.907
2016-08-08T22:21:36.569,2016-08-09T05:39:37.424
2016-08-09T21:30:26.908,2016-08-10T05:50:46.365
2016-08-10T22:15:33.163,2016-08-11T06:12:27.128
2016-08-11T21:51:31.900,2016-08-12T06:02:02.708
2016-08-12T22:08:45.145,2016-08-13T05:13:20.075
2016-08-13T21:58:47.251,2016-08-14T06:50:11.285
2016-08-14T21:57:17.281,2016-08-15T05:52:59.874
2016-08-15T21:40:50.136,2016-08-16T06:36:38.513
2016-08-16T22:05:57.748,2016-08-17T06:22:20.582
2016-08-17T21:39:41.991,2016-08-18T06:13:36.511
2016-08-18T22:01:48.094,2016-08-19T05:17:11.252
2016-08-19T22:16:06.904,2016-08-20T06:24:05.894
2016-08-20T21:47:19.992,2016-08-21T05:47:03.713
2016-08-21T21:18:45.555,2016-08-22T06:28:46.916
2016-08-22T22:20:50.604,2016-08-23T05:27:38.646
2016-08-23T21:25:23.997,2016-08-24T05:33:35.016
2016-08-24T21:56:52.629,2016-08-25T05:39:12.898
2016-08-25T21:37:50.155,2016-08-26T06:00:32.861
2016-08-26T22:00:28.188,2016-08-27T06:22:25.160
2016-08-27T21:46:45.983,2016-08-28T04:47:30.396
2016-08-28T22:17:08.651,2016-08-29T05:07:21.645
2016-08-29T21:03:15.222,2016-08-30T06:30:47.144
2016-08-30T22:07:04.033,2016-08-31T06:28:05.516
2016-08-31T22:48:01.113,2016-09-01T06:11:27.374
2016-09-01T21:24:13.068,2016-09-02T05:26:45.169
2016-09-02T21:41:43.304,2016-09-03T05:39:52.841
2016-09-03T21:36:52.217,2016-09-04T06:52:53.557
2016-09-04T22:25:42.328,2016-09-05T06:48:56.723
2016-09-05T21:21:09.147,2016-09-06T05:36:30.807
2016-09-06T22:07:12.196,2016-09-07T05:40:43.152
2016-09-07T21:52:16.541,2016-09-08T05:12:56.488
2016-09-08T22:01:06.156,2016-09-09T06:08:07.069
2016-09-09T22:39:58.194,2016-09-10T05:39:30.978
2016-09-10T22:22:45.144,2016-09-11T05:53:03.878
2016-09-11T22:26:36.095,2016-09-12T07:02:13.171
2016-09-12T21:39:03.346,2016-09-13T05:39:57.929
2016-09-13T22:09:30.019,2016-09-14T06:25:10.675
2016-09-14T22:04:10.645,2016-09-15T05:37:50.550
2016-09-15T22:25:40.788,2016-09-16T05:55:46.682
2016-09-16T21:39:32.146,2016-09-17T05:34:13.367
2016-09-17T22:15:45.017,2016-09-18T06:25:44.953
2016-09-18T22:29:37.776,2016-09-19T06:57:20.962
2016-09-19T21:21:53.858,2016-09-20T06:16:48.252
2016-09-20T21:35:25.977,2016-09-21T05:52:02.019
2016-09-21T21:33:57.946,2016-09-22T05:29:32.675
2016-09-22T21:58:32.131,2016-09-23T06:10:03.460
2016-09-23T23:16:28.456,2016-09-24T06:46:37.147
2016-09-24T22:12:19.601,2016-09-25T05:30:52.982
2016-09-25T22:46:09.087,2016-09-26T06:21:20.486
2016-09-26T22:37:32.338,2016-09-27T07:02:20.310
2016-09-27T23:00:51.013,2016-09-28T06:36:48.700
2016-09-28T22:13:15.910,2016-09-29T06:10:47.885
2016-09-29T22:01:23.710,2016-09-30T06:05:05.365
2016-09-30T22:18:36.267,2016-10-01T06:41:50.205
2016-10-01T22:35:31.918,2016-10-02T05:22:07.749
2016-10-02T21:42:16.210,2016-10-03T05:56:01.421
2016-10-03T22:52:27.739,2016-10-04T06:27:05.614
2016-10-04T22:17:27.927,2016-10-05T06:00:36.314
2016-10-05T22:29:41.285,2016-10-06T06:02:27.848
2016-10-06T22:03:25.743,2016-10-07T06:01:35.554
2016-10-07T20:34:04.310,2016-10-08T05:50:59.444
2016-10-08T22:36:33.023,2016-10-09T06:12:20.941
2016-10-09T22:21:13.607,2016-10-10T05:49:21.132
2016-10-10T22:11:37.424,2016-10-11T05:57:30.902
2016-10-11T22:11:50.657,2016-10-12T06:10:51.786
2016-10-12T22:44:37.153,2016-10-13T05:14:24.628
2016-10-13T22:00:53.383,2016-10-14T05:57:25.739
2016-10-14T21:58:29.509,2016-10-15T06:00:21.405
2016-10-15T22:08:10.023,2016-10-16T05:53:59.209
2016-10-16T22:21:05.731,2016-10-17T06:05:40.856
2016-10-17T22:01:33.725,2016-10-18T06:12:43.204
2016-10-18T22:47:53.872,2016-10-19T06:25:54.153
2016-10-19T22:26:23.192,2016-10-20T06:26:55.151
2016-10-20T22:08:50.937,2016-10-21T05:46:27.359
2016-10-21T20:53:15.405,2016-10-22T06:30:08.140
2016-10-22T21:19:45.105,2016-10-23T06:15:31.154
2016-10-23T21:06:12.991,2016-10-24T05:43:31.936
2016-10-24T21:28:37.788,2016-10-25T05:39:55.946
2016-10-25T22:03:37.381,2016-10-26T06:06:20.975
2016-10-26T22:47:22.760,2016-10-27T05:36:51.089
2016-10-27T21:22:05.733,2016-10-28T05:59:24.694
2016-10-28T22:33:13.806,2016-10-29T05:59:20.242
2016-10-29T21:39:27.952,2016-10-30T04:49:32.865
2016-10-30T21:05:21.177,2016-10-31T04:37:04.754
2016-10-31T22:21:05.589,2016-11-01T06:01:01.828
2016-11-01T21:18:42.163,2016-11-02T06:15:50.749
2016-11-02T21:40:21.164,2016-11-03T06:22:11.762
2016-11-03T22:05:50.464,2016-11-04T05:22:11.426
2016-11-04T21:55:16.464,2016-11-05T05:27:04.286
2016-11-05T21:43:14.641,2016-11-06T05:48:42.733
2016-11-06T21:58:26.330,2016-11-07T06:41:57.431
2016-11-07T21:57:48.858,2016-11-08T05:28:45.788
2016-11-08T22:02:55.044,2016-11-09T06:01:36.032
2016-11-09T21:59:37.848,2016-11-10T05:39:48.439
2016-11-10T21:23:44.471,2016-11-11T05:37:48.849
2016-11-11T22:13:04.482,2016-11-12T06:40:48.947
2016-11-12T21:48:51.332,2016-11-13T06:50:42.673
2016-11-13T22:23:03.186,2016-11-14T05:53:51.416
2016-11-14T21:45:51.124,2016-11-15T06:37:33.320
2016-11-15T21:42:03.524,2016-11-16T06:57:13.323
2016-11-16T21:48:17.339,2016-11-17T05:25:00.935
2016-11-17T21:07:55.503,2016-11-18T05:24:41.974
2016-11-18T21:46:33.212,2016-11-19T06:40:11.608
2016-11-19T22:16:06.193,2016-11-20T06:02:34.348
2016-11-20T21:31:56.290,2016-11-21T05:38:08.174
2016-11-21T22:18:51.689,2016-11-22T06:09:46.443
2016-11-22T21:53:59.553,2016-11-23T06:10:18.825
2016-11-23T21:43:53.929,2016-11-24T06:05:59.154
2016-11-24T21:10:54.903,2016-11-25T06:27:10.819
2016-11-25T20:50:10.226,2016-11-26T05:35:15.589
2016-11-26T22:06:00.313,2016-11-27T06:45:51.319
2016-11-27T20:48:05.264,2016-11-28T06:17:35.432
2016-11-28T21:34:34.494,2016-11-29T05:18:22.025
2016-11-29T22:27:16.815,2016-11-30T05:59:25.530
2016-11-30T21:21:51.995,2016-12-01T05:27:05.355
2016-12-01T22:29:36.071,2016-12-02T04:58:41.478
2016-12-02T22:01:44.141,2016-12-03T05:12:50.375
2016-12-03T21:39:56.094,2016-12-04T06:52:10.512
2016-12-04T22:43:45.217,2016-12-05T05:50:47.543
2016-12-05T21:48:08.855,2016-12-06T06:03:41.728
2016-12-06T22:16:55.064,2016-12-07T06:53:19.564
2016-12-07T23:04:37.933,2016-12-08T06:17:48.936
2016-12-08T21:21:35.194,2016-12-09T05:23:50.964
2016-12-09T22:07:44.785,2016-12-10T05:54:13.917
2016-12-10T22:28:32.114,2016-12-11T06:37:50.833
2016-12-11T21:54:08.050,2016-12-12T06:03:51.868
2016-12-12T21:28:02.624,2016-12-13T05:51:07.898
2016-12-13T22:05:34.416,2016-12-14T05:48:43.000
2016-12-14T21:28:52.815,2016-12-15T06:01:21.741
2016-12-15T21:17:08.444,2016-12-16T05:41:58.100
2016-12-16T22:33:35.765,2016-12-17T05:52:27.195
2016-12-17T22:09:20.347,2016-12-18T06:37:05.304
2016-12-18T22:23:18.569,2016-12-19T06:40:20.858
2016-12-19T22:11:35.494,2016-12-20T06:13:24.040
2016-12-20T22:22:21.372,2016-12-21T06:14:08.800
2016-12-21T21:48:03.571,2016-12-22T06:43:37.722
2016-12-22T21:38:44.199,2016-12-23T05:29:47.572
2016-12-23T22:15:13.886,2016-12-24T05:25:24.277
2016-12-24T21:08:56.775,2016-12-25T05:35:13.535
2016-12-25T22:10:52.757,2016-12-26T05:23:21.201
2016-12-26T22:33:00.423,2016-12-27T06:35:04.634
2016-12-27T22:11:57.807,2016-12-28T06:32:36.728
2016-12-28T22:09:14.317,2016-12-29T05:10:36.567
2016-12-29T21:02:54.683,2016-12-30T05:47:58.565
2016-12-30T21:55:23.168,2016-12-31T06:41:53.756
2016-12-31T22:51:07.125,2017-01-01T04:59:52.169
